COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsAmericasUSD;142;F89B86EB25E24151;A000207524;visa;2019-05-01;UTC;Settled;30AA35E8D37E4B79;USD;304.00;16.00;320.00
JetBrains;JetBrainsAmericasUSD;142;41FBD418EE4B4844;E000045111;visa;2019-04-19;UTC;Settled;A6BB36A9E1C24602;USD;380.00;20.00;400.00
JetBrains;JetBrainsAmericasUSD;142;3C935ECE24914281;E000151034;visa;2019-07-02;UTC;Settled;5DFC5F5CBCD049BF;USD;203.00;11.00;214.00
JetBrains;JetBrainsAmericasUSD;142;24A84A6BD2574EBE;A000131535;mc;2019-07-04;UTC;Settled;9A8881C7674C422B;USD;167.00;9.00;176.00
JetBrains;JetBrainsAmericasUSD;142;E3459D6115F34553;Z000137280;visa;2019-04-17;UTC;Settled;CB2074A30F3E40A4;USD;143.00;7.00;150.00
JetBrains;JetBrainsAmericasUSD;142;3DD53B9B935E4993;E000027126;visa;2019-05-04;UTC;Settled;D5AF8267D10C4BCF;USD;141.00;7.00;148.00
JetBrains;JetBrainsAmericasUSD;142;0647FBED00174EDC;R000168474;visa;2019-06-23;UTC;Settled;E0338A0A33434D2C;USD;238.00;12.00;250.00
JetBrains;JetBrainsAmericasUSD;142;2EAF9A2EC8064C5B;Z000173844;mc;2019-05-04;UTC;Settled;2F32AE762DE24056;USD;154.00;8.00;162.00
JetBrains;JetBrainsAmericasUSD;142;69E3B3E90AC242E9;C000200824;visa;2019-05-14;UTC;Settled;4156E31DDEEF44CB;USD;120.00;6.00;126.00
JetBrains;JetBrainsAmericasUSD;142;FC7D1291107047B0;C000032089;mc;2019-06-26;UTC;Settled;7E98E4222C694B3D;USD;646.00;34.00;680.00
JetBrains;JetBrainsAmericasUSD;142;DE3C3B6521F94577;C000197452;mc;2019-04-23;UTC;Settled;4D1D601928D54201;USD;185.00;10.00;195.00
JetBrains;JetBrainsAmericasUSD;142;E0AE88F114A24804;R000059309;visa;2019-04-29;UTC;Settled;BA5102C6A1194F6A;USD;532.00;28.00;560.00
JetBrains;JetBrainsAmericasUSD;142;5C671BE1C85C49CB;R000109169;visa;2019-06-12;UTC;Settled;5D61BCAE8C784471;USD;109.00;6.00;115.00
JetBrains;JetBrainsAmericasUSD;142;DDE3D6ABA73542AE;E000167359;mc;2019-05-03;UTC;Settled;1266AF37C2514C3C;USD;475.00;25.00;500.00
JetBrains;JetBrainsAmericasUSD;142;AF1228F203334D37;A000007990;mc;2019-05-23;UTC;Settled;81AA654812FB49D2;USD;106.00;6.00;112.00
JetBrains;JetBrainsAmericasUSD;142;73A8EAD55949477D;A000172929;visa;2019-04-20;UTC;Settled;7039AAA1168246DC;USD;247.00;13.00;260.00
JetBrains;JetBrainsAmericasUSD;142;11151A4193DB4A97;A000211063;visa;2019-06-13;UTC;Settled;FBEB006BBD684DB5;USD;380.00;20.00;400.00
JetBrains;JetBrainsAmericasUSD;142;72DAF99A9EEB44C5;R000009530;visa;2019-04-23;UTC;Settled;DC79533E14A04DA7;USD;171.00;9.00;180.00
JetBrains;JetBrainsAmericasUSD;142;574D62FE1EF0420F;C000220422;mc;2019-05-21;UTC;Settled;8797140F42034910;USD;266.00;14.00;280.00
JetBrains;JetBrainsAmericasUSD;142;395234ABA9B94E6D;A000120525;visa;2019-07-03;UTC;Settled;91DE767E8A6C4759;USD;228.00;12.00;240.00
JetBrains;JetBrainsAmericasUSD;142;1BB9F800A6E44186;C000019394;visa;2019-07-03;UTC;Settled;BA8AE71A819C489C;USD;185.00;10.00;195.00
JetBrains;JetBrainsAmericasUSD;142;EBB576DEEA414913;Z000125880;visa;2019-06-20;UTC;Settled;3E7AFD3574334413;USD;507.00;27.00;534.00
JetBrains;JetBrainsAmericasUSD;142;5E404666193C4ED4;A000093838;mc;2019-05-03;UTC;Settled;0F3CE14064954112;USD;477.00;25.00;502.00
JetBrains;JetBrainsAmericasUSD;142;50408304DCCD471E;R000119344;visa;2019-04-17;UTC;Settled;9275DE781D55423C;USD;101.00;5.00;106.00
JetBrains;JetBrainsAmericasUSD;142;14E43F3736E04BA3;R000118481;mc;2019-07-04;UTC;Settled;8FC78ED0ECFA4E24;USD;310.00;16.00;326.00
JetBrains;JetBrainsAmericasUSD;142;97069622DB4B43A5;E000001743;mc;2019-07-02;UTC;Settled;17D89B1302EB42A6;USD;390.00;20.00;410.00
JetBrains;JetBrainsAmericasUSD;142;DD466FC607B24D45;A000150416;visa;2019-05-24;UTC;Settled;65230555F3044D00;USD;475.00;25.00;500.00
JetBrains;JetBrainsAmericasUSD;142;DD1D3DD201F74A94;Z000040879;visa;2019-05-27;UTC;Settled;5030D2B5FEAC45CD;USD;515.00;27.00;542.00
JetBrains;JetBrainsAmericasUSD;142;A4ADA76EA9CB4E8C;A000176041;mc;2019-06-28;UTC;Settled;A1729B0AC32A4D1A;USD;67.00;3.00;70.00
JetBrains;JetBrainsAmericasUSD;142;5EAB1FF0EC5F48C2;E000054713;mc;2019-05-15;UTC;Settled;D11DEBA46BC14EB7;USD;48.00;2.00;50.00
JetBrains;JetBrainsAmericasUSD;142;01D68E9336984077;Z000109016;mc;2019-04-24;UTC;Settled;37DC7D5E76704BB0;USD;57.00;3.00;60.00
JetBrains;JetBrainsAmericasUSD;142;4DB4E88831CD497E;R000213386;mc;2019-05-10;UTC;Settled;415A4EB50B7C45B9;USD;95.00;5.00;100.00
JetBrains;JetBrainsAmericasUSD;142;85D651B7387E49A0;C000102023;visa;2019-05-17;UTC;Settled;4F9371418D2A4E12;USD;717.00;38.00;755.00
JetBrains;JetBrainsAmericasUSD;142;D7C0DCD58A484DC9;R000173176;visa;2019-05-17;UTC;Settled;579B91A4E7C2442D;USD;190.00;10.00;200.00
JetBrains;JetBrainsAmericasUSD;142;D9577A01FFE243AB;C000022662;visa;2019-07-03;UTC;Settled;BCA972CFA606415A;USD;561.00;29.00;590.00
JetBrains;JetBrainsAmericasUSD;142;17FB9E6FAF504927;A000132079;visa;2019-04-27;UTC;Settled;9C5291162344463F;USD;556.00;29.00;585.00
JetBrains;JetBrainsAmericasUSD;142;8703A946320B4679;E000001936;mc;2019-05-29;UTC;Settled;AECDB6B261364974;USD;131.00;7.00;138.00
JetBrains;JetBrainsAmericasUSD;142;F6FE08DA91E443C2;A000014523;visa;2019-05-17;UTC;Settled;BB6127C9AEAD47C3;USD;219.00;11.00;230.00
JetBrains;JetBrainsAmericasUSD;142;717B3C1382F4431A;C000093078;visa;2019-07-06;UTC;Settled;0661B14E2219465C;USD;380.00;20.00;400.00
JetBrains;JetBrainsAmericasUSD;142;7CF32EC901E7433C;A000117744;visa;2019-04-28;UTC;Settled;3DC7E42FEB5C4713;USD;86.00;4.00;90.00
JetBrains;JetBrainsAmericasUSD;142;13C9E8CD913340A1;A000088052;visa;2019-06-21;UTC;Settled;718534ADA0934B87;USD;247.00;13.00;260.00
JetBrains;JetBrainsAmericasUSD;142;7CB6F92030154E1D;A000115860;visa;2019-04-28;UTC;Settled;DDC6A261E09E4A1A;USD;888.00;47.00;935.00
JetBrains;JetBrainsAmericasUSD;142;F41A108626F7457F;Z000105580;visa;2019-05-19;UTC;Settled;392FD4120E234F9A;USD;40.00;2.00;42.00
JetBrains;JetBrainsAmericasUSD;142;930EEFC5313C42BF;E000021637;visa;2019-06-15;UTC;Settled;2A50245BA0E348FB;USD;133.00;7.00;140.00
JetBrains;JetBrainsAmericasUSD;142;C888BE4356D7495D;E000172558;mc;2019-07-02;UTC;Settled;00D6909C9D7342CB;USD;209.00;11.00;220.00
JetBrains;JetBrainsAmericasUSD;142;5D402EDAB477494D;C000066419;mc;2019-07-02;UTC;Settled;566B63010CDE447D;USD;760.00;40.00;800.00
JetBrains;JetBrainsAmericasUSD;142;82A1E44A7CF44697;E000103598;visa;2019-04-19;UTC;Settled;B2BCA8AD949B41A3;USD;428.00;22.00;450.00
JetBrains;JetBrainsAmericasUSD;142;DD268EB69BFF4AEB;Z000149100;visa;2019-05-15;UTC;Settled;93B48E7E653E4AC6;USD;213.00;11.00;224.00
JetBrains;JetBrainsAmericasUSD;142;523E2134123447A4;R000151013;mc;2019-05-12;UTC;Settled;CF6DC48076C14B66;USD;404.00;21.00;425.00
JetBrains;JetBrainsAmericasUSD;142;80EDF6B0FB3B4295;A000168405;mc;2019-06-29;UTC;Settled;CFBEB15D4A1A4547;USD;312.00;16.00;328.00
JetBrains;JetBrainsAmericasUSD;142;A0699256943941CA;A000057072;visa;2019-05-12;UTC;Settled;7086E23F7BC64FB3;USD;131.00;7.00;138.00
JetBrains;JetBrainsAmericasUSD;142;6B40F175C93C4C2C;C000189617;mc;2019-06-11;UTC;Settled;85D8EAE8ADAB42E3;USD;110.00;6.00;116.00
JetBrains;JetBrainsAmericasUSD;142;FD198550D4804806;C000023590;mc;2019-04-21;UTC;Settled;7D4D49B76CF14D4E;USD;67.00;3.00;70.00
JetBrains;JetBrainsAmericasUSD;142;0FB235D431E84CD4;C000147049;visa;2019-04-21;UTC;Settled;979898DF30E54126;USD;713.00;37.00;750.00
JetBrains;JetBrainsAmericasUSD;142;7300F49EB0294D95;Z000040885;mc;2019-06-12;UTC;Settled;809B3DD8254D4BE7;USD;380.00;20.00;400.00
JetBrains;JetBrainsAmericasUSD;142;731B790DAFFF4A37;Z000042980;mc;2019-05-20;UTC;Settled;3419268920D74031;USD;428.00;22.00;450.00
JetBrains;JetBrainsAmericasUSD;142;954CF565B45A462F;Z000161490;visa;2019-05-14;UTC;Settled;59B692A912CD423B;USD;860.00;45.00;905.00
JetBrains;JetBrainsAmericasUSD;142;FBEB6773B6C243E2;E000045457;mc;2019-05-19;UTC;Settled;E0DD4CAF02254B78;USD;432.00;23.00;455.00
JetBrains;JetBrainsAmericasUSD;142;6692C0DFAF764DAC;E000114650;visa;2019-07-04;UTC;Settled;57652640A9B945BB;USD;523.00;27.00;550.00
JetBrains;JetBrainsAmericasUSD;142;220172D4A8524F04;R000207083;visa;2019-06-01;UTC;Settled;381609653CAC4CED;USD;99.00;5.00;104.00
JetBrains;JetBrainsAmericasUSD;142;BFC2A16C9E854393;A000015422;visa;2019-06-20;UTC;Settled;1B5D907ECF664239;USD;722.00;38.00;760.00
JetBrains;JetBrainsAmericasUSD;142;5185B3992B2F44C1;A000082267;visa;2019-06-17;UTC;Settled;C45BAAB64F484161;USD;76.00;4.00;80.00
JetBrains;JetBrainsAmericasUSD;142;F4067AB59211486F;A000016220;visa;2019-05-12;UTC;Settled;5CD4AAB188EB4C8D;USD;390.00;20.00;410.00
JetBrains;JetBrainsAmericasUSD;142;BFC3F29D81B247BA;E000009499;mc;2019-06-06;UTC;Settled;F788576F22B247A4;USD;618.00;32.00;650.00
JetBrains;JetBrainsAmericasUSD;142;3ED4869353524A8D;Z000129336;mc;2019-07-02;UTC;Settled;BFBF29896F0C4202;USD;622.00;33.00;655.00
JetBrains;JetBrainsAmericasUSD;142;A335FB1B5E564C5F;Z000081891;visa;2019-06-05;UTC;Settled;1B26C3D56E3A440D;USD;576.00;30.00;606.00
JetBrains;JetBrainsAmericasUSD;142;5500D3AD7AA44A68;E000095293;mc;2019-07-01;UTC;Settled;4D5FA3C0DBBA4ADA;USD;62.00;3.00;65.00
JetBrains;JetBrainsAmericasUSD;142;EF862DB88C304366;C000175970;mc;2019-05-11;UTC;Settled;F08F6C34195843A9;USD;80.00;4.00;84.00
JetBrains;JetBrainsAmericasUSD;142;16654E5818DF434B;R000117189;visa;2019-05-14;UTC;Settled;CCEFFE56016347BB;USD;523.00;27.00;550.00
JetBrains;JetBrainsAmericasUSD;142;E5E6CB9B867E453E;C000133256;visa;2019-04-26;UTC;Settled;B8DE304943F944E6;USD;80.00;4.00;84.00
JetBrains;JetBrainsAmericasUSD;142;7E124B0B7EB54734;Z000145888;visa;2019-06-05;UTC;Settled;8D44F3E8A3034B1D;USD;190.00;10.00;200.00
JetBrains;JetBrainsAmericasUSD;142;EF70E9409B0346E4;Z000152886;visa;2019-05-20;UTC;Settled;54437966B513496E;USD;596.00;31.00;627.00
JetBrains;JetBrainsAmericasUSD;142;B8D1CE7EC88C423A;C000001229;mc;2019-05-24;UTC;Settled;BD3E00377BB04689;USD;251.00;13.00;264.00
JetBrains;JetBrainsAmericasUSD;142;3193C95A58844702;A000183275;visa;2019-05-20;UTC;Settled;3E6BC6878EBC45D8;USD;95.00;5.00;100.00
JetBrains;JetBrainsAmericasUSD;142;7ECA444A9823464D;A000072831;visa;2019-04-17;UTC;Settled;AAA1E3DDBDC74115;USD;361.00;19.00;380.00
JetBrains;JetBrainsAmericasUSD;142;B33D387109F9495B;C000094051;mc;2019-05-10;UTC;Settled;80126522DD234A2E;USD;261.00;14.00;275.00
JetBrains;JetBrainsAmericasUSD;142;EB2064CDB4B943BE;E000106721;visa;2019-07-02;UTC;Settled;3D0FD1D680524DF7;USD;494.00;26.00;520.00
JetBrains;JetBrainsAmericasUSD;142;7205519C177642C8;C000049105;visa;2019-05-29;UTC;Settled;80DFCA437EFA40EA;USD;385.00;20.00;405.00
JetBrains;JetBrainsAmericasUSD;142;6B1F05832D624CA0;C000217096;visa;2019-05-26;UTC;Settled;2DEE72B9B15C4FD5;USD;67.00;3.00;70.00
JetBrains;JetBrainsAmericasUSD;142;45BD16E9D4B44872;Z000042809;visa;2019-07-04;UTC;Settled;49B8A1956C824D8B;USD;359.00;19.00;378.00
JetBrains;JetBrainsAmericasUSD;142;6C447FE5DA7F4296;Z000157906;visa;2019-04-24;UTC;Settled;13EA26C1FDD04DAC;USD;171.00;9.00;180.00
