COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsEUR;142;1462C2EBC1D9495E;Z000059056;mc;2019-06-23;UTC;Settled;E3A1EC44A6834D61;EUR;333.00;17.00;350.00
JetBrains;JetBrainsEUR;142;E52D8BD2D9FE4F04;A000031345;visa;2019-04-27;UTC;Settled;12889D56D6D84EC9;EUR;76.00;4.00;80.00
JetBrains;JetBrainsEUR;142;A218E71FAFD24F9A;Z000125796;mc;2019-07-07;UTC;Settled;C10DAEE193B24BF6;EUR;352.00;18.00;370.00
JetBrains;JetBrainsEUR;142;A0534C7C44C64CFA;Z000144331;mc;2019-05-23;UTC;Settled;66EE0E512CEE446E;EUR;173.00;9.00;182.00
JetBrains;JetBrainsEUR;142;758BEAE9A66347D5;A000040617;visa;2019-05-04;UTC;Settled;7AB83DA73CD14EA9;EUR;713.00;37.00;750.00
JetBrains;JetBrainsEUR;142;412A61AD8DC04AE7;A000204649;visa;2019-04-30;UTC;Settled;95C77730B59F4565;EUR;114.00;6.00;120.00
JetBrains;JetBrainsEUR;142;9AD94B56F58F4836;C000139170;mc;2019-07-02;UTC;Settled;802F9E2C8DAE418D;EUR;190.00;10.00;200.00
JetBrains;JetBrainsEUR;142;39F226C8A4BE46AC;Z000196038;visa;2019-05-08;UTC;Settled;8BB4F1C31CC54E55;EUR;613.00;32.00;645.00
JetBrains;JetBrainsEUR;142;0B5CB752EF534B11;R000215977;visa;2019-06-28;UTC;Settled;C79014D2BA3E438D;EUR;380.00;20.00;400.00
JetBrains;JetBrainsEUR;142;5E8164E202A34201;E000140914;visa;2019-06-05;UTC;Settled;55E99A2BAA9F45AD;EUR;746.00;39.00;785.00
JetBrains;JetBrainsEUR;142;A7F48FDD30E84875;R000062805;visa;2019-06-13;UTC;Settled;EAF5CDDA8D154A66;EUR;409.00;21.00;430.00
JetBrains;JetBrainsEUR;142;E58107C884E94237;C000032360;mc;2019-05-02;UTC;Settled;2561E99D84BE444E;EUR;48.00;2.00;50.00
JetBrains;JetBrainsEUR;142;3FF9C816D93B4D62;R000152302;visa;2019-07-06;UTC;Settled;E70B0850C52348CB;EUR;481.00;25.00;506.00
JetBrains;JetBrainsEUR;142;2B12A1EB36AA4894;E000220849;visa;2019-05-09;UTC;Settled;D497715E1DDD4336;EUR;48.00;2.00;50.00
JetBrains;JetBrainsEUR;142;38DE5C19119A4575;E000182259;visa;2019-04-16;UTC;Settled;7B5D2B8B05424193;EUR;97.00;5.00;102.00
JetBrains;JetBrainsEUR;142;F5D9402784CD4139;Z000117191;visa;2019-05-03;UTC;Settled;5B7715BE15374F47;EUR;122.00;6.00;128.00
JetBrains;JetBrainsEUR;142;0DFAFCCA45E543FB;A000180682;visa;2019-05-19;UTC;Settled;E1BA6709956D447D;EUR;46.00;2.00;48.00
JetBrains;JetBrainsEUR;142;95791EF79B2C4B0E;C000075072;mc;2019-04-20;UTC;Settled;CA918D06D17045F7;EUR;114.00;6.00;120.00
JetBrains;JetBrainsEUR;142;205A51D6597E4AF1;R000125633;visa;2019-04-18;UTC;Settled;1172362F1C0945E5;EUR;106.00;6.00;112.00
JetBrains;JetBrainsEUR;142;DEE5046BBABA4C13;A000009383;visa;2019-05-01;UTC;Settled;CB5FD96209694CAC;EUR;238.00;12.00;250.00
JetBrains;JetBrainsEUR;142;359A1D57187149FC;C000191129;visa;2019-07-01;UTC;Settled;044B5CE2CB3E4E04;EUR;168.00;9.00;177.00
JetBrains;JetBrainsEUR;142;A8131DF0A8004F24;Z000027098;mc;2019-04-23;UTC;Settled;C58164B122A94B14;EUR;238.00;12.00;250.00
JetBrains;JetBrainsEUR;142;B268E9E0A0C44693;C000093544;visa;2019-05-08;UTC;Settled;22130D17F1944C5B;EUR;143.00;7.00;150.00
JetBrains;JetBrainsEUR;142;3F5A099F076E4D59;R000102186;visa;2019-05-20;UTC;Settled;2D8D29EF845F435B;EUR;80.00;4.00;84.00
JetBrains;JetBrainsEUR;142;AFB52306536F4AF1;C000158310;visa;2019-06-28;UTC;Settled;089C950301D24C2B;EUR;874.00;46.00;920.00
JetBrains;JetBrainsEUR;142;8E5668D20D42486C;R000067528;mc;2019-06-15;UTC;Settled;C81C9D16557148A6;EUR;568.00;30.00;598.00
JetBrains;JetBrainsEUR;142;D9CCE2BEC1EF4506;E000214811;mc;2019-06-18;UTC;Settled;953B511501454AB7;EUR;190.00;10.00;200.00
JetBrains;JetBrainsEUR;142;82B3C01893C445E2;R000204996;visa;2019-04-28;UTC;Settled;22B17B0183B449CA;EUR;95.00;5.00;100.00
JetBrains;JetBrainsEUR;142;55A56EE26C8B4AF8;A000074566;visa;2019-05-12;UTC;Settled;9EE16919C9304719;EUR;665.00;35.00;700.00
JetBrains;JetBrainsEUR;142;E4AB30E782154215;Z000196283;visa;2019-04-27;UTC;Settled;631347BAC3E34377;EUR;188.00;10.00;198.00
JetBrains;JetBrainsEUR;142;F6127FD48D9D4109;C000103224;visa;2019-06-30;UTC;Settled;C371717FCB044850;EUR;713.00;37.00;750.00
JetBrains;JetBrainsEUR;142;2F75FF53FA1E4112;E000010316;visa;2019-04-26;UTC;Settled;C72C0C7E7362451A;EUR;409.00;21.00;430.00
