COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsGBP;139;8CF132297CFD41B6;Z000133741;visa;2018-04-23;UTC;Settled;7F098441ADE741A0;GBP;133.00;7.00;140.00
JetBrains;JetBrainsGBP;139;A21830289B1D4A32;A000059898;visa;2018-06-26;UTC;Settled;3D92CA336B194ACA;GBP;137.00;7.00;144.00
JetBrains;JetBrainsGBP;139;265664A9A1F4499F;Z000198296;mc;2018-04-19;UTC;Settled;36E4B66D2DA748EB;GBP;475.00;25.00;500.00
JetBrains;JetBrainsGBP;139;73AC07B16C394A52;R000066575;visa;2018-06-27;UTC;Settled;CA9EC03F2F8C40BB;GBP;581.00;31.00;612.00
JetBrains;JetBrainsGBP;139;38814BAC33C04F05;R000085824;visa;2018-05-12;UTC;Settled;0999E1D98B704BF6;GBP;57.00;3.00;60.00
JetBrains;JetBrainsGBP;139;ED46B4C79F8244D9;R000096409;mc;2018-07-20;UTC;Settled;EBA45A5CFB5F4986;GBP;454.00;24.00;478.00
JetBrains;JetBrainsGBP;139;1B94DC08BED246D1;E000119023;mc;2018-06-03;UTC;Settled;397958D80BC14A14;GBP;190.00;10.00;200.00
JetBrains;JetBrainsGBP;139;6E1B380C8F1442E5;C000154891;mc;2018-05-30;UTC;Settled;5D0DCC8BD6A74A30;GBP;746.00;39.00;785.00
JetBrains;JetBrainsGBP;139;35748CDAA3BE4C18;E000201772;mc;2018-06-22;UTC;Settled;4EEC5C4D19834AC4;GBP;475.00;25.00;500.00
JetBrains;JetBrainsGBP;139;06D7EF4904A449D4;R000214980;mc;2018-05-03;UTC;Settled;C1F8112370A24940;GBP;48.00;2.00;50.00
JetBrains;JetBrainsGBP;139;9CB610FDCD684250;Z000087010;visa;2018-07-24;UTC;Settled;9BB949E23D634088;GBP;95.00;5.00;100.00
JetBrains;JetBrainsGBP;139;D6B57773DF1F47D4;Z000099149;visa;2018-04-29;UTC;Settled;AE7FB1C8D8424B44;GBP;380.00;20.00;400.00
JetBrains;JetBrainsGBP;139;64CE0920825E4A83;Z000119970;visa;2018-07-04;UTC;Settled;C2519EC7B0B2432D;GBP;86.00;4.00;90.00
JetBrains;JetBrainsGBP;139;F4F0049243F64981;E000208436;visa;2018-05-27;UTC;Settled;95950647FEC84DE3;GBP;494.00;26.00;520.00
JetBrains;JetBrainsGBP;139;E04BC0A5BC6147D4;E000218500;mc;2018-07-07;UTC;Settled;041E1BED33554104;GBP;160.00;8.00;168.00
JetBrains;JetBrainsGBP;139;F10A6CE9F9BA4321;C000161025;mc;2018-06-01;UTC;Settled;0AF1AD5B15CD4621;GBP;409.00;21.00;430.00
JetBrains;JetBrainsGBP;139;528CA134DF574FD5;E000047695;visa;2018-04-22;UTC;Settled;2E869059F6FC44A9;GBP;13.00;1.00;14.00
JetBrains;JetBrainsGBP;139;B202AB1E1280472F;Z000106064;visa;2018-07-17;UTC;Settled;0FFDB95B11344A59;GBP;152.00;8.00;160.00
JetBrains;JetBrainsGBP;139;4B82E28D991349A0;Z000214713;visa;2018-04-22;UTC;Settled;789944EAFF624FD6;GBP;939.00;49.00;988.00
JetBrains;JetBrainsGBP;139;690CC99D0ED34348;R000195328;mc;2018-06-28;UTC;Settled;2406B76C782F49F9;GBP;456.00;24.00;480.00
JetBrains;JetBrainsGBP;139;FCE231F7593F442B;A000171961;mc;2018-08-13;UTC;Settled;21A79D3E783747B3;GBP;380.00;20.00;400.00
JetBrains;JetBrainsGBP;139;E57F9F7EE9AE401D;A000194870;visa;2018-08-10;UTC;Settled;0469E128E2C14E33;GBP;133.00;7.00;140.00
JetBrains;JetBrainsGBP;139;74356D7333554FF6;E000031709;visa;2018-07-08;UTC;Settled;E29CA70110804817;GBP;40.00;2.00;42.00
JetBrains;JetBrainsGBP;139;D7DE40892CCB4CF8;Z000105631;mc;2018-04-17;UTC;Settled;319351F1DCCA41D7;GBP;285.00;15.00;300.00
JetBrains;JetBrainsGBP;139;8D16D9F38C6F4F88;C000141620;visa;2018-06-24;UTC;Settled;3EF5D3E790984821;GBP;93.00;5.00;98.00
JetBrains;JetBrainsGBP;139;402E82416ACA431B;C000031914;visa;2018-06-23;UTC;Settled;D63930731DDA49DB;GBP;464.00;24.00;488.00
JetBrains;JetBrainsGBP;139;7012B6A10C0F43D5;C000032148;mc;2018-07-24;UTC;Settled;F3B35E79F97D4BFD;GBP;86.00;4.00;90.00
