COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsUSD;141;30ADB479FC5F4EFB;Z000104808;visa;2019-04-04;UTC;Settled;DBAE221021DD4106;USD;551.00;29.00;580.00
JetBrains;JetBrainsUSD;141;37E780751FDE4333;A000117569;visa;2019-04-06;UTC;Settled;0C5175E4A5C44D98;USD;190.00;10.00;200.00
JetBrains;JetBrainsUSD;141;207C015A61DF42FD;A000050051;visa;2019-01-07;UTC;Settled;56F65F20860643E2;USD;53.00;3.00;56.00
JetBrains;JetBrainsUSD;141;61DE92EB972748AF;E000094049;visa;2019-01-01;UTC;Settled;FFB4F957DDD944E5;USD;190.00;10.00;200.00
JetBrains;JetBrainsUSD;141;B463CB244D5B4693;A000140217;mc;2019-01-24;UTC;Settled;647CFDC9ECAE4B29;USD;314.00;16.00;330.00
JetBrains;JetBrainsUSD;141;EEC3D4D3D05C44CB;R000175571;visa;2019-02-04;UTC;Settled;3AF9F6A06AB1400F;USD;228.00;12.00;240.00
JetBrains;JetBrainsUSD;141;A45B17C0BE244199;A000022929;mc;2019-01-31;UTC;Settled;04CEF57300684715;USD;277.00;15.00;292.00
JetBrains;JetBrainsUSD;141;A0066E84A39846B6;Z000043306;visa;2019-04-11;UTC;Settled;2A09103AF5214463;USD;380.00;20.00;400.00
JetBrains;JetBrainsUSD;141;E859B9BCB9354FA3;A000215431;mc;2018-12-21;UTC;Settled;A504F940AB684534;USD;13.00;1.00;14.00
JetBrains;JetBrainsUSD;141;7C2CDEA841DC48CA;C000160403;mc;2019-03-18;UTC;Settled;5273045787D744BB;USD;59.00;3.00;62.00
JetBrains;JetBrainsUSD;141;922D491E74B5463C;A000064830;visa;2019-01-02;UTC;Settled;101798DB77A34255;USD;103.00;5.00;108.00
JetBrains;JetBrainsUSD;141;68B8CA3CC2634B11;C000114320;mc;2019-04-11;UTC;Settled;E37828668989425E;USD;143.00;7.00;150.00
JetBrains;JetBrainsUSD;141;AC8FB80086274CCE;C000062578;mc;2018-12-17;UTC;Settled;0E67608C14BB46A1;USD;95.00;5.00;100.00
JetBrains;JetBrainsUSD;141;703ACAD50A804774;Z000079664;visa;2018-12-31;UTC;Settled;266C79C720D24F67;USD;67.00;3.00;70.00
JetBrains;JetBrainsUSD;141;BB0C8D7656FB4FD1;R000090209;mc;2019-03-25;UTC;Settled;B78D7E007479484E;USD;565.00;30.00;595.00
JetBrains;JetBrainsUSD;141;362E9D0C5C0440CB;A000211772;visa;2019-03-14;UTC;Settled;098BE6884DAD4F67;USD;437.00;23.00;460.00
JetBrains;JetBrainsUSD;141;F9BCE208C48347DD;Z000137423;visa;2018-12-27;UTC;Settled;7344C60535C2460C;USD;485.00;26.00;511.00
JetBrains;JetBrainsUSD;141;D65841AA261C4E02;A000081344;visa;2019-04-10;UTC;Settled;C2B21F5AFA524BC6;USD;219.00;11.00;230.00
JetBrains;JetBrainsUSD;141;3F16033C10D04716;Z000079029;mc;2019-04-07;UTC;Settled;3079B4542EE24A2A;USD;549.00;29.00;578.00
JetBrains;JetBrainsUSD;141;9C10812CE6384BDA;C000055896;mc;2019-02-15;UTC;Settled;9FA53AAF6A714C72;USD;296.00;16.00;312.00
JetBrains;JetBrainsUSD;141;9948B3FA1CB94DE5;E000209021;visa;2019-03-29;UTC;Settled;3788CBFE2F5441D0;USD;143.00;7.00;150.00
JetBrains;JetBrainsUSD;141;F111DDF717064295;C000188231;mc;2019-03-10;UTC;Settled;0028BD6FD8FF46B7;USD;424.00;22.00;446.00
JetBrains;JetBrainsUSD;141;720D377090BD46C1;R000042829;mc;2019-01-22;UTC;Settled;85707AFB05904FE4;USD;437.00;23.00;460.00
JetBrains;JetBrainsUSD;141;846B7B15B7DD4006;Z000207617;visa;2019-01-12;UTC;Settled;873AB3434679437A;USD;38.00;2.00;40.00
JetBrains;JetBrainsUSD;141;643CD135A51D4438;A000057040;mc;2019-02-12;UTC;Settled;ECC5C42C349F4119;USD;304.00;16.00;320.00
JetBrains;JetBrainsUSD;141;AB43A8B336BC400F;Z000128380;visa;2019-01-10;UTC;Settled;C4CBDA213E8D4CBC;USD;114.00;6.00;120.00
JetBrains;JetBrainsUSD;141;A6277EBEFAE8414D;R000183789;visa;2018-12-21;UTC;Settled;AC7D349176844838;USD;1112.00;58.00;1170.00
JetBrains;JetBrainsUSD;141;B30C6716F0C745C7;R000162446;mc;2019-01-17;UTC;Settled;F5E03EDAC0BE474E;USD;285.00;15.00;300.00
JetBrains;JetBrainsUSD;141;61902B3376CC4E83;A000188165;visa;2019-04-12;UTC;Settled;0DD8E48A5FB04B86;USD;27.00;1.00;28.00
JetBrains;JetBrainsUSD;141;C6E237D19EC04186;R000204970;visa;2019-01-04;UTC;Settled;40C356490598411F;USD;357.00;19.00;376.00
JetBrains;JetBrainsUSD;141;B77660E27F8743D0;A000195672;visa;2019-01-07;UTC;Settled;2824C75A554E4D3C;USD;1444.00;76.00;1520.00
JetBrains;JetBrainsUSD;141;FF83C8565ED54823;C000094619;mc;2019-04-05;UTC;Settled;76DB8A7276EF48AD;USD;200.00;10.00;210.00
JetBrains;JetBrainsUSD;141;A6CD189941EF46A8;Z000110472;visa;2019-02-11;UTC;Settled;BBF71E8B305046C7;USD;285.00;15.00;300.00
JetBrains;JetBrainsUSD;141;DA94BEC43BD3439A;R000003112;mc;2019-02-08;UTC;Settled;5EBDB311AB6F4E19;USD;670.00;35.00;705.00
JetBrains;JetBrainsUSD;141;777DAB99ACCE471B;E000003125;mc;2019-02-20;UTC;Settled;DB5B33798B754B9E;USD;120.00;6.00;126.00
JetBrains;JetBrainsUSD;141;799EC27BDE8F47BD;C000033517;mc;2019-03-19;UTC;Settled;E5827D80EC474885;USD;150.00;8.00;158.00
JetBrains;JetBrainsUSD;141;09EC680766894E6C;A000105517;mc;2019-02-10;UTC;Settled;1E1F5A2797DA4067;USD;152.00;8.00;160.00
JetBrains;JetBrainsUSD;141;651DFA3ABBBF4469;A000069621;visa;2019-03-20;UTC;Settled;EE9DCF2C88B947F9;USD;317.00;17.00;334.00
JetBrains;JetBrainsUSD;141;554B248107B64274;C000091701;visa;2019-03-27;UTC;Settled;AD76F0FAE1F54B4D;USD;798.00;42.00;840.00
JetBrains;JetBrainsUSD;141;D7BDEBB1CEC04B3E;C000060110;mc;2019-02-16;UTC;Settled;FA32751040E44CD5;USD;80.00;4.00;84.00
JetBrains;JetBrainsUSD;141;A9152381D17A41EC;A000216695;visa;2019-01-25;UTC;Settled;39D1D9DF608141ED;USD;380.00;20.00;400.00
JetBrains;JetBrainsUSD;141;2D4224056E514775;E000063028;mc;2019-04-10;UTC;Settled;B7C9FBA2353D4F2A;USD;504.00;26.00;530.00
JetBrains;JetBrainsUSD;141;61BE2E8481024F08;Z000176429;mc;2019-02-27;UTC;Settled;BC306BC4942B46A9;USD;551.00;29.00;580.00
JetBrains;JetBrainsUSD;141;DBAA19322A0B4166;R000076381;mc;2019-01-27;UTC;Settled;AFB50FF3CA9148DE;USD;393.00;21.00;414.00
JetBrains;JetBrainsUSD;141;75399CFE981A494F;Z000214696;visa;2019-02-02;UTC;Settled;34F8AFC035C74EF4;USD;247.00;13.00;260.00
JetBrains;JetBrainsUSD;141;2EA5DD3B65FB4632;A000145625;visa;2019-01-15;UTC;Settled;2AE4F6ADF5A14C4A;USD;190.00;10.00;200.00
